"benchmark","version","application","file","line","function"
"polybench","4.1","linear-algebra-kernels-3mm","3mm.c","40","init_array"
"NPB","2.3-OpenACC-C","BT","bt.c","2884","y_solve_cell"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonMatrix.c","208","transposeMatrix"
"spec2000","v1.3","301.apsi","apsi.c","2714","dtdtz"
"cortexsuite","default","rbm","main.c","107","activateVisibleUnits"
"cortexsuite","default","srr","SRREngine.c","128","get_g"
"spec2000","v1.3","254.gap","permutat.c","725","ModPP"
"libraries","default","libogg","framing.c","880","ogg_stream_pagein"
"NPB","2.3-OpenACC-C","SP","sp.c","1691","compute_rhs"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","261","geom1"
"mediabench","default","h263enc","pred.c","1501","ChooseMode"
"libraries","default","libogg","framing.c","1827","main"
"NPB","2.3-OpenACC-C","SP","sp.c","1387","compute_rhs"
"mediabench","default","h264enc-lencod","image.c","2255","PaddAutoCropBorders"
"libraries","default","daala","generic_code.c","34","od_cdf_init"
"NPB","2.3-OpenACC-C","LU","lu.c","2277","rhs"
"NPB","2.3-OpenACC-C","CG","cg.c","387","conj_grad"
"spec2000","v1.3","181.mcf","output.c","59","write_circulations"
"libraries","default","silk","SKP_Silk_NSQ_del_dec.c","645","SKP_Silk_nsq_del_dec_scale_states"
"livermore","default","livermore","lloops.c","1611","endloop"
"libraries","default","libpng","pngrtran.c","2760","png_do_read_filler"
"ALPBench","v1.0","MPGenc","predict.c","545","pred_comp"
"Kernels","SERIAL","Branch","func.c","3244","func21"
"FreeBench","default","pifft","pifft.c","665","mp_unsgn_imul"
"mediabench","default","mpeg4dec","h263.c","3040","ff_h263_encode_mba"
"libraries","default","daala","dct.c","8548","check_bias"
"machinelearning","default","darknet","avgpool_layer.c","44","forward_avgpool_layer"
"cortexsuite","default","sphinx","feat.c","402","feat_array_realloc"
"TSVC","default","default","tsc.c","2440","s3251"
"cortexsuite","default","srr","BmpHandler.c","98","ConvertGrayScaletoRGB"
"livermore","default","livermore","lloops.c","993","kernels"
"spec2006","v1.1","445.gobmk","aftermath.c","369","aftermath_genmove"
"libraries","default","libpng","pngrtran.c","4223","png_do_expand_palette"
"libraries","default","silk","SKP_Silk_sort.c","96","SKP_Silk_insertion_sort_decreasing_int16"
"spec2006","v1.1","435.gromacs","clincs.c","192","clincs"
"Kernels","SERIAL","Branch","func.c","26792","func16"
"spec2006","v1.1","400.perlbench","doio.c","1590","Perl_do_exec3"
"spec2006","v1.1","445.gobmk","hash.c","196","hashdata_recalc"
"livermore","default","livermore","lloops.c","1919","endloop"
"mediabench","default","gsm","lpc.c","203","Reflection_coefficients"
"libraries","default","flac","lpc.c","1206","FLAC_lpc_restore_signal_wide"
"polybench","4.1","linear-algebra-blas-gemver","gemver.c","101","kernel_gemver"
"libraries","default","silk","SKP_Silk_CNG.c","116","SKP_Silk_CNG"
"NPB","2.3-OpenACC-C","SP","sp.c","1436","compute_rhs"
"polybench","4.1","linear-algebra-blas-syr2k","syr2k.c","87","kernel_syr2k"
"spec2006","v1.1","429.mcf","output.c","65","write_circulations"
"GitApps","default","gap","permutat.c","1553","PowPerm2Int"
"spec2006","v1.1","400.perlbench","op.c","6261","Perl_ck_subr"
"spec2000","v1.3","301.apsi","apsi.c","5676","smthf"
"NPB","2.3-OpenACC-C","SP","sp.c","2764","z_solve"
"libraries","default","twolame","psycho_4.c","255","psycho_4_init"
"mediabench","default","mpeg2enc","readpic.c","274","border_extend"
"spec2006","v1.1","464.h264ref","mv-search.c","251","SetupLargerBlocks"
"libraries","default","twolame","psycho_3.c","127","psycho_3_spl"
"mediabench","default","h263dec","getpic.c","748","addblock"
"Kernels","SERIAL","Branch","func.c","10552","func6"
"libraries","default","daala","internal.c","468","od_calloc_2d"
"libraries","default","libsndfile","xi.c","1172","s2dles_array"
"NPB","2.3-OpenACC-C","LU","lu.c","2298","rhs"
"NPB","2.3-OpenACC-C","DC","adc.c","223","GetFactorization"
"NPB","2.3-OpenACC-C","SP","sp.c","2718","y_solve"
"libraries","default","libsndfile","sds.c","500","sds_3byte_read"
"spec2006","v1.1","456.hmmer","histogram.c","76","AllocHistogram"
"FreeBench","default","pifft","fftsg.c","2584","rftbsub"
"GitApps","default","gap","vecffe.c","466","DiffVecFFEVecFFE"
"mediabench","default","h264dec-ldecod","image.c","563","get_block"
"libraries","default","libpng","pngrtran.c","2523","png_do_read_swap_alpha"
"mediabench","default","mpeg4enc","dsputil.c","3789","dsputil_static_init"
"spec2006","v1.1","401.bzip2","blocksort.c","1043","mainSort"
"NPB","2.3-OpenACC-C","LU","lu.c","2697","setbv"
"TSVC","default","default","tsc.c","4378","s422"
"FreeBench","default","fourinarow","fourinarow.c","135","init_board"
"libraries","default","silk","SKP_Silk_ana_filt_bank_1.c","57","SKP_Silk_ana_filt_bank_1"
"libraries","default","daala","encode.c","1152","od_compute_dist_8x8"
"spec2000","v1.3","186.crafty","init.c","533","InitializeChessBoard"
"mediabench","default","h264enc-lencod","transform8x8.c","1349","LowPassForIntra8x8Pred"
"spec2006","v1.1","435.gromacs","mshift.c","425","mk_mshift"
"mediabench","default","h264dec-lencod","rdopt.c","1639","SetCoeffAndReconstruction8x8"
"libraries","default","daala","dct.c","8562","check_bias"
"Kernels","SERIAL","Branch","func.c","4868","func22"
"cortexsuite","default","clustering-spectral","kmeans.c","76","k_means"
"spec2006","v1.1","400.perlbench","regcomp.c","3927","S_regclass"
"NPB","2.3-OpenACC-C","DC","extbuild.c","556","SelectToView"
"NPB","2.3-OpenACC-C","SP","sp.c","2492","x_solve"
"spec2000","v1.3","186.crafty","init.c","650","SetChessBitBoards"
"mediabench","default","mpeg4dec","mjpeg.c","973","find_frame_end"
"cortexsuite","default","sphinx","bin_mdef.c","481","bin_mdef_read"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1701","mor_s_e"
"livermore","default","livermore","lloops.c","1720","endloop"
"TSVC","default","default","tsc.c","2017","s231"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","566","transfb_cor_f"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","303","SKP_Silk_pitch_analysis_core"
"mediabench","default","h264dec-lencod","block.c","437","intrapred_luma_16x16"
"mediabench","default","h264dec-lencod","q_offsets.c","408","InitOffsetParam"
"mediabench","default","h264enc-lencod","mv-search.c","257","SetupLargerBlocks"
"spec2000","v1.3","253.perlbmk","regexec.c","728","regtry"
"spec2006","v1.1","400.perlbench","pp_pack.c","2163","S_pack_rec"
"TSVC","default","default","tsc.c","4344","s1421"
"libraries","default","daala","rate.c","138","od_bexp64"
"spec2000","v1.3","186.crafty","init.c","265","InitializeAttackBoards"
"netlib","default","jacobi","jacobi_eigenvalue.c","426","r8mat_is_eigen_right"
"GitApps","default","gap","blister.c","1205","SizeBlist"
"cortexsuite","default","sphinx","ngram_model_set.c","767","ngram_model_set_raw_score"
"mediabench","default","h263dec","recon.c","389","rechc"
"spec2000","v1.3","254.gap","function.c","528","EvMakefunc"
"spec2006","v1.1","445.gobmk","persistent.c","424","store_persistent_reading_cache"
"spec2000","v1.3","254.gap","permutat.c","315","ProdPP"
"mediabench","default","gsm","long_term.c","113","Calculation_of_the_LTP_parameters"
"scimark2","default","default","FFT.c","26","int_log2"
"cortexsuite","default","srr","SRREngine.c","158","flush_b"
"spec2000","v1.3","256.bzip2","bzip2.c","1342","sendMTFValues"
"spec2000","v1.3","175.vpr","place.c","2532","alloc_and_load_for_fast_cost_update"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","348","do_refine"
"Kernels","SERIAL","Random","random.c","325","main"
"mediabench","default","mpeg2enc","predict.c","551","clearblock"
"mediabench","default","mpeg2enc","predict.c","461","pred_comp"
"GitApps","default","gap","permutat.c","904","QuoPerm22"
"spec2006","v1.1","433.milc","gauge_stuff.c","360","g_measure"
"mediabench","default","h264dec-lencod","image.c","1854","find_distortion"
"GitApps","default","gap","trans.c","2405","FuncCOMPONENTS_TRANS"
"NPB","2.3-OpenACC-C","SP","sp.c","174","add"
"spec2006","v1.1","458.sjeng","moves.c","218","check_legal"
"TSVC","default","default","tsc.c","3751","s3110"
"mediabench","default","h264enc-ldecod","vlc.c","570","GetVLCSymbol"
"spec2006","v1.1","464.h264ref","mv-search.c","248","SetupLargerBlocks"
"GitApps","default","gap","finfield.c","1051","SumIntFFE"
"spec2000","v1.3","255.vortex","tree0.c","388","Tree_Redistribute"
"NPB","2.3-OpenACC-C","MG","mg.c","319","setup"
"mediabench","default","mpeg4enc","mpegaudio.c","535","compute_bit_allocation"
"livermore","default","livermore","lloops.c","2035","init"
"spec2000","v1.3","183.equake","quake.c","686","element_matrices"
"machinelearning","default","darknet","region_layer.c","32","make_region_layer"
"libraries","default","twolame","psycho_3.c","115","psycho_3_spl"
"spec2006","v1.1","464.h264ref","mv-search.c","1093","SATD"
"NPB","2.3-OpenACC-C","DC","jobcntl.c","28","Mlo32"
"NPB","2.3-OpenACC-C","SP","sp.c","768","initialize"
"ALPBench","v1.0","MPGenc","motion.c","2203","dist2"
"spec2000","v1.3","300.twolf","qsortg.c","70","qsortg"
"ASC-llnl","v1.0","amgmk","laplace.c","112","GenerateSeqLaplacian"
"spec2006","v1.1","401.bzip2","huffman.c","221","BZ2_hbCreateDecodeTables"
"Kernels","SERIAL","Branch","branch.c","215","main"
"polybench","4.1","datamining_correlation","correlation.c","79","kernel_correlation"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","87","setuppc"
"GitApps","default","mozjpeg","jidctint.c","447","jpeg_idct_7x7"
"spec2006","v1.1","464.h264ref","cabac.c","1339","writeRunLevel_CABAC"
"mediabench","default","mpeg4dec","ac3enc.c","604","encode_exp"
"libraries","default","libsndfile","paf.c","596","paf24_read_f"
"mediabench","default","cjpeg","jdmaster.c","266","prepare_range_limit_table"
"spec2006","v1.1","464.h264ref","block.c","845","dct_luma_16x16"
"mediabench","default","gsm","long_term.c","120","Calculation_of_the_LTP_parameters"
"ALPBench","v1.0","MPGdec","recon.c","1713","form_component_prediction2"
"spec2000","v1.3","256.bzip2","bzip2.c","2619","undoReversibleTransformation_fast"
"libraries","default","lame","quantize_pvt.c","356","iteration_init"
"spec2006","v1.1","445.gobmk","influence.c","890","find_influence_patterns"
"spec2000","v1.3","186.crafty","init.c","459","InitializeAttackBoards"
"spec2000","v1.3","175.vpr","rr_graph.c","977","alloc_and_load_clb_pin_to_tracks"
"Kernels","SERIAL","Branch","func.c","10550","func6"
"spec2006","v1.1","400.perlbench","regcomp.c","4050","S_regclass"
"spec2006","v1.1","445.gobmk","reading.c","4004","break_chain3_moves"
"libraries","default","libsndfile","gsm610.c","365","gsm610_read_d"
"spec2000","v1.3","301.apsi","apsi.c","9703","radf4"
"spec2006","v1.1","400.perlbench","regcomp.c","4083","S_regclass"
"spec2006","v1.1","464.h264ref","rdopt.c","1264","SetModesAndRefframeForBlocks"
"mediabench","default","h264enc-lencod","mv-search.c","260","SetupLargerBlocks"
"Kernels","SERIAL","Branch","func.c","19486","func31"
"Kernels","SERIAL","Amr","amr.c","311","main"
"spec2006","v1.1","458.sjeng","moves.c","1131","f_in_check"
"libraries","default","silk","SKP_Silk_A2NLSF.c","73","SKP_Silk_A2NLSF_eval_poly"
"spec2006","v1.1","482.sphinx3","vector.c","513","vector_gautbl_eval_logs3"
"polybench","4.1","linear-algebra-kernels-bicg","bicg.c","83","kernel_bicg"
"polybench","4.1","linear-algebra-solvers-ludcmp","ludcmp.c","42","init_array"
"libraries","default","twolame","psycho_3.c","311","psycho_3_threshold"
"spec2000","v1.3","254.gap","finfield.c","907","ProdFFE"
"libraries","default","silk","SKP_Silk_find_LTP_FIX.c","198","SKP_Silk_find_LTP_FIX"
"spec2006","v1.1","458.sjeng","moves.c","842","f_in_check"
"TSVC","default","default","tsc.c","1937","s221"
"libraries","default","libsndfile","sds.c","782","sds_2byte_write"
"mediabench","default","h264enc-lencod","mv-search.c","270","SetupLargerBlocks"
"libraries","default","twolame","encode.c","1289","a_bit_allocation"
"GitApps","default","gap","vecffe.c","526","ProdFFEVecFFE"
"libraries","default","silk","SKP_Silk_noise_shape_analysis_FIX.c","43","warped_gain"
"spec2006","v1.1","464.h264ref","image.c","2137","PaddAutoCropBorders"
"spec2000","v1.3","254.gap","set.c","672","FunSet"
"mediabench","default","cjpeg","jquant2.c","411","update_box"
"mediabench","default","h264dec-lencod","macroblock.c","2175","ZeroRef"
"spec2006","v1.1","435.gromacs","mshift.c","281","mk_graph"
"mediabench","default","h264enc-lencod","refbuf.c","63","UMVLine16Y_11"
"Kernels","SERIAL","DGEMM","dgemm.c","222","main"
"spec2000","v1.3","300.twolf","hash.c","8","maketabl"
"spec2006","v1.1","445.gobmk","owl.c","4863","owl_escape_value"
"GitApps","default","gap","cyclotom.c","714","Cyclotomic"
"Kernels","SERIAL","Amr","amr.c","626","main"
"spec2006","v1.1","445.gobmk","persistent.c","755","store_persistent_owl_cache"
"spec2000","v1.3","255.vortex","mem00.c","240","Mem_NewOry"
"mediabench","default","h264dec-ldecod","macroblock.c","1932","readMotionInfoFromNAL"
"mediabench","default","mpeg4dec","h263dec.c","367","h263_find_frame_end"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonImage.c","344","writePGMImage"
"NPB","2.3-OpenACC-C","BT","bt.c","776","initialize"
"ALPBench","v1.0","MPGdec","getpic.c","2440","Thrd_Add_Block"
"spec2000","v1.3","254.gap","integer.c","980","ModInt"
"libraries","default","daala","rate.c","233","od_blog64"
"spec2000","v1.3","301.apsi","apsi.c","9089","radbg"
"GitApps","default","gap","trans.c","1782","FuncINDEX_PERIOD_TRANS"
"spec2006","v1.1","458.sjeng","moves.c","990","f_in_check"
"spec2000","v1.3","301.apsi","apsi.c","2527","advt"
"spec2000","v1.3","175.vpr","read_arch.c","1192","check_arch"
"libraries","default","silk","SKP_Silk_sort.c","55","SKP_Silk_insertion_sort_increasing"
"spec2000","v1.3","300.twolf","dimbox.c","507","vert_statistics"
"Kernels","SERIAL","Amr","amr.c","443","main"
"spec2000","v1.3","301.apsi","apsi.c","3431","hordfc"
"mediabench","default","mpeg4dec","ac3enc.c","900","AC3_encode_init"
"mediabench","default","mpeg4enc","ac3enc.c","552","exponent_min"
"libraries","default","libsndfile","ima_adpcm.c","677","ima_read_f"
"spec2006","v1.1","445.gobmk","surround.c","144","compute_surroundings"
"scimark2","default","default","LU.c","32","LU_factor"
"TSVC","default","default","tsc.c","5389","vbor"
"spec2006","v1.1","400.perlbench","regcomp.c","3995","S_regclass"
"mediabench","default","mpeg2enc","quantize.c","57","quant_intra"
"libraries","default","libdeep","lodepng.c","3902","unfilterScanline"
"spec2000","v1.3","171.swim","swim.c","373","inital"
"libraries","default","silk","SKP_Silk_decode_core.c","216","SKP_Silk_decode_short_term_prediction"
"FreeBench","default","pifft","pifft.c","1435","mp_sprintf"
"cortexsuite","default","rbm","main.c","180","train"
"spec2000","v1.3","197.parser","prune.c","357","string_hash"
"spec2000","v1.3","164.gzip","inflate.c","757","inflate_dynamic"
"NPB","2.3-OpenACC-C","UA-SNU","ua.c","363","main"
"mediabench","default","h264enc-ldecod","macroblock.c","423","init_macroblock"
"libraries","default","libpng","pngrtran.c","2272","png_do_unshift"
"mediabench","default","h264dec-lencod","context_ini.c","104","create_context_memory"
"spec2006","v1.1","464.h264ref","block.c","1028","dct_luma"
"spec2000","v1.3","197.parser","and.c","814","compute_matchers_for_a_label"
"cortexsuite","default","sphinx","dtoa.c","843","mult"
"libraries","default","libpng","pngwtran.c","84","png_do_pack"
"spec2006","v1.1","464.h264ref","rdopt.c","408","RDCost_for_4x4IntraBlocks"
"cortexsuite","default","liblinear","linear.c","2436","train_one"
"libraries","default","daala","pvq_decoder.c","369","od_pvq_decode"
"spec2006","v1.1","456.hmmer","histogram.c","603","ExtremeValueFitHistogram"
"mediabench","default","mpeg2enc","mpeg2enc.c","105","init"
"mediabench","default","h263enc","pred.c","1249","ReconLumBlock_P"
"mediabench","default","h264enc-lencod","rdopt.c","3549","assign_enc_picture_params"
"Kernels","SERIAL","Sparse","sparse.c","256","main"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","946","merging"
"spec2006","v1.1","458.sjeng","neval.c","173","check_phase"
"mediabench","default","mpeg4enc","dsputil.c","3675","vsad16_c"
"spec2000","v1.3","186.crafty","setboard.c","204","SetBoard"
"mediabench","default","mpeg2enc","motion.c","1470","dist2"
"spec2006","v1.1","401.bzip2","huffman.c","225","BZ2_hbCreateDecodeTables"
"NPB","2.3-OpenACC-C","SP","sp.c","2700","y_solve"
"NPB","2.3-OpenACC-C","CG","cg.c","215","main"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","1061","remapz"
"scimark2","default","default","array.c","63","Array2D_double_copy"
"FreeBench","default","neural","neural.c","402","run"
"spec2006","v1.1","458.sjeng","moves.c","205","check_legal"
"libraries","default","lame","takehiro.c","973","scfsi_calc"
"netlib","default","jacobi","jacobi_eigenvalue.c","297","r8mat_diag_get_vector"
"spec2006","v1.1","445.gobmk","surround.c","395","compute_surroundings"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1745","mor_s_e_nn"
"mediabench","default","h264dec-ldecod","macroblock.c","2164","readMotionInfoFromNAL"
"mediabench","default","jpg2000dec","jas_cm.c","1170","triclr"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceFisher.c","49","subtractClassMean"
"spec2006","v1.1","445.gobmk","influence.c","1238","value_territory"
"spec2006","v1.1","482.sphinx3","hash.c","151","key2hash"
"NPB","2.3-OpenACC-C","BT","bt.c","2747","x_solve_cell"
"spec2006","v1.1","464.h264ref","context_ini.c","116","create_context_memory"
"mediabench","default","mpeg4dec","ac3enc.c","914","AC3_encode_init"
"TSVC","default","default","tsc.c","3480","s312"
"spec2006","v1.1","435.gromacs","mshift.c","316","mk_1shift_tric"
"machinelearning","default","darknet","maxpool_layer.c","89","forward_maxpool_layer"
"mediabench","default","mpeg4dec","msmpeg4.c","550","msmpeg4_encode_mb"
"ALPBench","v1.0","MPGenc","predict.c","502","pred_comp"
"Fhourstones","default","default","play.c","15","reset"
"spec2000","v1.3","301.apsi","apsi.c","2838","advu"
"spec2006","v1.1","401.bzip2","compress.c","541","sendMTFValues"
"polybench","4.1","linear-algebra-solvers-cholesky","cholesky.c","47","init_array"
"TSVC","default","default","tsc.c","3426","test"
"TSVC","default","default","tsc.c","2277","s244"
"polybench","4.1","linear-algebra-kernels-atax","atax.c","74","kernel_atax"
"mediabench","default","rasta","fft.c","170","FAST"
"spec2000","v1.3","301.apsi","apsi.c","3537","dctdx"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1655","edgecopy_s"
"spec2000","v1.3","164.gzip","inflate.c","331","huft_build"
"cortexsuite","default","sphinx","bin_mdef.c","485","bin_mdef_read"
"libraries","default","libsndfile","dwvw.c","203","dwvw_read_s"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","717","transfb_nc1"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuEBGMMeasure.c","307","main"
"libraries","default","libdeep","autocoder.c","163","autocoder_decode"
"mediabench","default","h263dec","recon.c","450","recv"
"mediabench","default","h264dec-lencod","mode_decision.c","869","submacroblock_mode_decision"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","268","SKP_Silk_pitch_analysis_core"
"NPB","2.3-OpenACC-C","SP","sp.c","2901","z_solve"
"spec2006","v1.1","464.h264ref","macroblock.c","171","proceed2nextMacroblock"
"TSVC","default","default","tsc.c","4736","s481"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","431","do_refine"
"GitApps","default","mozjpeg","jcmarker.c","413","emit_dac"
"libraries","default","flac","lpc.c","996","FLAC_lpc_restore_signal"
"NPB","2.3-OpenACC-C","SP","sp.c","912","lhsx"
"ALPBench","v1.0","MPGenc","transfrm.c","436","add_pred"
"spec2000","v1.3","186.crafty","init.c","190","InitializeAttackBoards"
"TSVC","default","default","tsc.c","1277","s124"
"spec2000","v1.3","171.swim","swim.c","540","calc2"
"GitApps","default","gap","permutat.c","423","LtPerm22"
"FreeBench","default","pifft","fftsg.c","2559","rftfsub"
"Kernels","SERIAL","Branch","func.c","15422","func9"
"polybench","4.1","linear-algebra-kernels-mvt","mvt.c","91","kernel_mvt"
"spec2006","v1.1","464.h264ref","image.c","2124","PaddAutoCropBorders"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","83","mortar"
"mediabench","default","mpeg4enc","ac3enc.c","602","encode_exp"
"NPB","2.3-OpenACC-C","BT","bt.c","261","rhs_norm"
"TSVC","default","default","tsc.c","4276","s353"
"spec2006","v1.1","482.sphinx3","feat.c","420","feat_array_alloc"
"mediabench","default","gsm","lpc.c","209","Reflection_coefficients"
"GitApps","default","mozjpeg","jcmaster.c","699","select_scans"
"mediabench","default","mpeg4enc","mpegaudiodec.c","372","decode_init"
"machinelearning","default","darknet","parser.c","456","parse_route"
"NPB","2.3-OpenACC-C","LU","lu.c","3067","ssor"
"spec2006","v1.1","400.perlbench","util.c","418","Perl_fbm_compile"
"mediabench","default","h264dec-lencod","block.c","610","dct_luma_16x16"
"netlib","default","cg","cg_rc_prb.c","119","test01"
"spec2000","v1.3","254.gap","finfield.c","505","RootFiniteField"
"spec2006","v1.1","464.h264ref","rdopt.c","2077","store_macroblock_parameters"
"cortexsuite","default","rbm","main.c","80","activateVisibleUnits"
"mediabench","default","h264dec-lencod","rdopt.c","3092","StoreNewMotionVectorsBlock8x8"
"NPB","2.3-OpenACC-C","SP","sp.c","1028","lhsy"
"libraries","default","daala","generic_code.c","95","generic_model_init"
"polybench","4.1","medley-deriche","deriche.c","35","init_array"
"mediabench","default","h264dec-ldecod","block.c","780","itrans"
"mediabench","default","mpeg4enc","h263dec.c","367","h263_find_frame_end"
"mediabench","default","h264enc-lencod","vlc.c","620","writeUVLC2buffer"
"spec2000","v1.3","254.gap","integer.c","761","ProdInt"
"libraries","default","libdeep","lodepng.c","3893","unfilterScanline"
"spec2006","v1.1","482.sphinx3","vithist.c","507","vithist_utt_end"
"cortexsuite","default","clustering-spectral","kmeans.c","109","k_means"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","868","remap"
"NPB","2.3-OpenACC-C","CG","cg.c","174","main"
"spec2006","v1.1","445.gobmk","matchpat.c","512","dfa_prepare_for_match"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","689","transfb_nc2"
"netlib","default","linpack","newlinpack.c","713","daxpy_ur"
"libraries","default","silk","SKP_Silk_VAD.c","120","SKP_Silk_VAD_GetSA_Q8"
"libraries","default","libpng","pngrtran.c","2778","png_do_read_filler"
"spec2006","v1.1","456.hmmer","trace.c","155","P7ReverseTrace"
"NPB","2.3-OpenACC-C","LU","lu.c","1135","error"
"spec2000","v1.3","301.apsi","apsi.c","5643","smth"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1708","mor_s_e"
"mediabench","default","rasta","noise_est.c","409","comp_noisepower"
"NPB","2.3-OpenACC-C","LU","lu.c","2045","pintgr"
"NPB","2.3-OpenACC-C","CG","cg.c","549","conj_grad"
"mediabench","default","h264enc-ldecod","macroblock.c","2812","readCBPandCoeffsFromNAL"
"mediabench","default","h264dec-lencod","macroblock.c","4366","find_sad_16x16"
"GitApps","default","gap","vector.c","384","DiffVectorVector"
"spec2000","v1.3","183.equake","quake.c","1490","mem_init"
"spec2000","v1.3","256.bzip2","bzip2.c","2152","sortIt"
"ALPBench","v1.0","MPGdec","recon.c","1187","form_component_prediction2"
"polybench","4.1","linear-algebra-blas-syrk","syrk.c","83","kernel_syrk"
"Kernels","SERIAL","Branch","branch.c","324","main"
"livermore","default","livermore","lloops.c","1818","endloop"
"TSVC","default","default","tsc.c","2535","s254"
"libraries","default","libsndfile","sds.c","616","sds_read_f"
"spec2000","v1.3","301.apsi","apsi.c","3856","dpdx"
"libraries","default","daala","rate.c","146","od_bexp64"
"spec2000","v1.3","255.vortex","query.c","1668","Query_CompareWild"
"spec2006","v1.1","400.perlbench","regcomp.c","3963","S_regclass"
"mediabench","default","mpeg4dec","h263.c","1830","init_uni_dc_tab"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","2179","mor_ne"
"machinelearning","default","darknet","parser.c","273","parse_region"
"mediabench","default","mpeg4enc","mpegaudiodec.c","483","decode_init"
"TSVC","default","default","tsc.c","144","sum1d"
"machinelearning","default","darknet","blas.c","210","softmax"
"NPB","2.3-OpenACC-C","SP","sp.c","2037","verify"
"spec2006","v1.1","445.gobmk","influence.c","1569","compute_escape_influence"
"mediabench","default","h264dec-lencod","q_matrix.c","482","CalculateQuantParam"
"spec2006","v1.1","435.gromacs","ns.c","892","setexcl"
"spec2000","v1.3","301.apsi","apsi.c","9637","radf4"
"libraries","default","libsndfile","g72x.c","302","g72x_read_f"
"livermore","default","livermore","lloops.c","1620","endloop"
"Kernels","SERIAL","Amr","amr.c","441","main"
"spec2006","v1.1","456.hmmer","histogram.c","150","AddToHistogram"
"GitApps","default","gap","permutat.c","2852","FuncCyclePermInt"
"polybench","4.1","linear-algebra-blas-syr2k","syr2k.c","90","kernel_syr2k"
"TSVC","default","default","tsc.c","893","s1112"
"NPB","2.3-OpenACC-C","SP","sp.c","1642","compute_rhs"
"spec2006","v1.1","482.sphinx3","new_fe_sp.c","207","fe_pre_emphasis"
"scimark2","default","default","kernel.c","145","kernel_measureSparseMatMult"
"libraries","default","libogg","framing.c","1530","test_pack"
"libraries","default","libsndfile","sds.c","446","sds_2byte_read"
"mediabench","default","rasta","fft.c","103","fft_pow"
"mediabench","default","h264enc-lencod","rdopt.c","3495","assign_enc_picture_params"
"libraries","default","libdeep","lodepng.c","1052","getTreeInflateDynamic"
"mediabench","default","h264dec-lencod","rdopt.c","2979","RestoreMVBlock8x8"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","424","do_refine"
"GitApps","default","gap","gap.c","2361","InitHasFiltListTNumsFromTable"
"ASC-llnl","v1.0","crystalMk","SPEdriver.c","116","SPEdriver"
"ASC-llnl","v1.0","IRSmk","rmatmult3.c","79","rmatmult3"
"libraries","default","daala","pvq_decoder.c","341","od_pvq_decode"
"TSVC","default","default","tsc.c","3887","s3113"
"mediabench","default","mpeg4enc","mpegaudiodec.c","320","decode_init"
"TSVC","default","default","tsc.c","4116","s342"
"spec2000","v1.3","256.bzip2","bzip2.c","2615","undoReversibleTransformation_fast"
"FreeBench","default","neural","neural.c","258","hamming"
"GitApps","default","gap","permutat.c","1109","LQuoPerm22"
"TSVC","default","default","tsc.c","3609","s316"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","791","check_refine"
"cortexsuite","default","sphinx","acmod.c","1245","acmod_flags2list"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","743","transfb_nc1"
"GitApps","default","gap","sysfiles.c","3168","syFgets"
"GitApps","default","gap","blister.c","873","PosBlist"
"Kernels","SERIAL","Branch","func.c","19482","func31"
"mediabench","default","h264enc-lencod","mv-search.c","372","SetupFastFullPelSearch"
"cortexsuite","default","cnn","MNistDoc.c","627","ApplyDistortionMap"
"polybench","4.1","linear-algebra-kernels-bicg","bicg.c","35","init_array"
"TSVC","default","default","tsc.c","1989","s222"
"Kernels","SERIAL","Transpose","transpose.c","136","main"
"mediabench","default","h264enc-lencod","lencod.c","706","init_img"
"spec2000","v1.3","253.perlbmk","md5c.c","336","MD5_memcpy"
"mediabench","default","h264dec-ldecod","block.c","1013","itrans_2"
"spec2006","v1.1","433.milc","gauge_stuff.c","148","char_num"
"spec2006","v1.1","464.h264ref","rdopt.c","1612","SetCoeffAndReconstruction8x8"
"mediabench","default","h264enc-lencod","block.c","948","dct_luma"
"GitApps","default","gap","permutat.c","1426","PowPerm2Int"
